Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,S,,,62,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,U,,,70,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,W,,,65,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,10,WV,,100,60,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,,,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,B,,,25,cobble,40,A,0,none,none
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,C,,,35,gravel,30,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,F,,,27,sand,30,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,G,,100,25,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,O,,,30,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,S,,,35,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,U,,,37,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,W,,,50,,,,,,
GC,7302021,"ALW, CRU",2,20.2,355.2,10.43,133.2,60,11,WV,,,63,,,,,,
GC,7302021,"ALW, CRU",,,,,,,,,,,55,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,B,,50,40,cobble,40,PAW,0,none,none
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,C,,,75,gravel,10,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,F,,,80,sand,50,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,G,60,50,82,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,O,,,75,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,S,,,73,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,U,,,67,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,W,,,52,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,WV,40,,48,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,1,,,,20,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,B,,90,60,cobble,40,PAW,0,minimal,minimal
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,C,,,83,gravel,0,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,F,,,95,sand,60,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,G,90,10,90,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,O,,,70,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,S,,,60,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,U,,,55,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,W,,,47,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,WV,,,35,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,2,,10,,12,,,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,3,B,,na,,cobble,40,P,1,minimal,minimal
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,3,C,,na,85,gravel,0,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,3,F,,na,87,sand,60,,,,
GC,7302021,"ALW, CRU",3,21.3,364.1,11.45,156.3,90,3,G,100,na,65,,,,,,
