Site,Date,Investigators,MBU,Temp (C) ,Conductivity,DO (mg/L),DO (%),Residual depth,Transect,LULC Class,Right bank (%),Left bank (%),"Depth (cm, R->L)",Substrate type,Substrate (%),Undercut banks,Shaded cover (%),Woody debris,Macrophytes
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,G,3,100,44,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,O,,,48,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,S,,,42,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,U,,,28,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,W,,,0,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,WV,7,,0,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,6,,,,12,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,B,85,5,5,cobble,80,A,0,none,some
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,C,,,18,gravel,15,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,F,,,28,sand,5,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,G,15,95,35,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,O,,,38,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,S,,,45,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,U,,,60,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,W,,,75,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,WV,,,78,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,7,,,,75,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,B,85,,5,cobble,80,A,0,none,some
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,C,,,15,gravel,20,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,F,,,23,sand,0,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,G,15,95,30,clay,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,O,,,35,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,S,,,70,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,U,,,80,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,W,,,75,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,WV,,5,72,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,8,,,,78,,,,,,
CR,8292021,"TGQ, SC",2,na,na,na,na,na,9,B,85,5,5,cobble,80,A,0,none,minimal
